ID,System,Component / pattern,Rule (paraphrased),Your class (V/K/P/S/PL/R/D/I)
R128,Carbon,Dialog pattern,"Background-process alerts use a toast, not a dialog",
R018,Primer,ButtonGroup,Do not use ButtonGroup as tab navigation; use UnderlineNav,
R103,Carbon,Button,Ghost button full width in side panels of 480px or narrower,
R174,Polaris,Button,Links for navigation in sentences; buttons for actions,
R122,Carbon,Dialog pattern,Close X dismisses without submitting data,
R069,Carbon,Button,"Label is left-aligned, never centered",
R190,Spectrum,Colour,Colour backgrounds must meet WCAG contrast with their text,
R050,Primer,Delete pattern,Confirm button is variant=danger with an explicit action label,
R129,Carbon,Dialog pattern,Confirmation dialogs: title and button reflect the action,
R027,Primer,Dialog,Content stays inside a 16px safe area,
R019,Primer,ButtonGroup,Only group buttons with related functionality,
R075,Carbon,Button,"Primary is left-aligned on full pages, bottom-right in wizards and dialogs",
R073,Carbon,Button,Never two high-emphasis buttons in a group,
R072,Carbon,Button,A layout has a single high-emphasis button,
R048,Primer,Delete pattern,Type-to-confirm flows use Dialog with returnFocusRef handled,
R107,Carbon,Button,Icons always appear right of the label,
R070,Carbon,Button,Icon right-aligned in labelled buttons; centered in icon-only,
R003,Primer,Button,Danger variant should normally prompt a confirmation dialog,
R080,Carbon,Button,Fluid buttons are never left-aligned,
R064,Carbon,Button,Do not use buttons as navigation; use links,
R120,Carbon,Dialog pattern,Title required; brief and describing the task,
R124,Carbon,Dialog pattern,Do not display complex or large data in a dialog,
R085,Carbon,Button,Two-button groups limited to listed combinations (e.g. primary+secondary),
R038,Primer,Dialog,Do not use side sheets for create/edit forms,
R077,Carbon,Button,"Fixed-width button: 16px left padding, 64px right of label",
R182,Polaris,Modal,"For destructive actions, explain consequences in the modal body",
R181,Polaris,Modal,"Use modals sparingly, for confirmations and conditional changes",
R187,Spectrum,Action button,Do not use href on action buttons; use an anchor with the class,
R053,Primer,Delete pattern,"After in-place deletion, move focus to a stable parent or previous control",
R146,Carbon,Dialog pattern,Server-side failure shows an inline notification,
R099,Carbon,Button,A second primary is allowed only inside a temporarily launched flow (e.g. side panel),
R034,Primer,Dialog,"On closing a nested dialog, focus returns to its trigger in the parent dialog",
R014,Primer,ButtonGroup,Normally only default-type buttons inside a ButtonGroup,
R164,Polaris,Common actions,"List-item delete is inline right, tertiary, with the delete icon",
R113,Carbon,Button,Any CTA opening a new tab shows the Launch icon,
R063,Carbon,Button,Each page should have only one primary button,
R095,Carbon,Button,Wrap long labels to a second line; never truncate,
R060,Primer,Delete pattern,Name what is affected; never a generic &apos;Are you sure?&apos;,
R065,Carbon,Button,"Primary appears once per screen, excluding header, modal and side panel",
R168,Polaris,Common actions,Use the x icon (not delete) when the action only removes,
R192,Spectrum,Alert dialog,Never open an alert dialog from within another,
R101,Carbon,Button,Data-table toolbar action is ghost if another primary exists on the page,
R093,Carbon,Button,Sentence case labels,
R167,Polaris,Common actions,Do not pair a primary-critical button with jarring other variants,
R118,Carbon,Button,Do not change the colour token of icon-only ghost buttons,
R162,Polaris,Common actions,Delete icon accompanies destructive items in an action list,
R079,Carbon,Button,Related buttons in a group have the same width,
R142,Carbon,Dialog pattern,Initial focus on the first input; focus trapped until closed,
R076,Carbon,Button,"Buttons inside notifications, search fields and data tables are right-aligned",
R161,Polaris,Common actions,No more than two shaped/filled buttons within a card,
R147,Carbon,Dialog pattern,"Prefer bounded controls (radio, dropdown) to reduce invalid input",
R117,Carbon,Button,Icon-only buttons always require a tooltip,
R144,Carbon,Dialog pattern,Validate before closing; invalid entries keep the dialog open with inline errors,
R125,Carbon,Dialog pattern,Do not recreate a full page inside a dialog,
R114,Carbon,Button,"Within a button group, all buttons have icons or none do",
R022,Primer,Dialog,Title is required for every dialog,
R083,Carbon,Button,"Primary sits right of secondary in dialogs/wizards, left on full pages",
R047,Primer,Delete pattern,Use ConfirmationDialog for most delete confirmations,
R151,Carbon,Dialog pattern,"Avoid data tables in dialogs; if present, no batch actions",
R097,Carbon,Button,Enter on a non-actionable field activates the primary button,
R186,Spectrum,Button,Do not disable label wrapping; not part of the design spec,
R132,Carbon,Dialog pattern,Never make a modal full page; use a page,
R045,Primer,Dialog,"Before using extra-large, consider a page instead",
R141,Carbon,Dialog pattern,On the final step the Next label changes to the final action,
R049,Primer,Delete pattern,Delete options in menus use ActionList.Item variant=danger with TrashIcon,
R084,Carbon,Button,In vertical stacks the primary is always on top,
R109,Carbon,Button,Icons must relate directly to the action,
R135,Carbon,Dialog pattern,Only one primary action per dialog,
R158,Polaris,Common actions,Icons go to the left of the label,
R202,GOV.UK,Button,Start button only on the service start page,
R086,Carbon,Button,Three-button groups limited to listed combinations,
R197,GOV.UK,Button,Button text in sentence case describing the action,
R046,Primer,Dialog,Confirmation dialogs use the larger title size,
R024,Primer,Dialog,Primary footer actions are right-aligned; secondary may sit left,
R092,Carbon,Button,Never a noun-only label,
R106,Carbon,Button,"Icons are 16px in buttons, 20px in large expressive buttons",
R179,Polaris,Setting toggle,"Use a default button for both states, never primary",
R098,Carbon,Button,Button is disabled while inline loading,
R089,Carbon,Button,Do not use primary with danger-ghost,
R104,Carbon,Button,"Ghost label aligns with body text, not the button edge",
R052,Primer,Delete pattern,"After deleting the page&apos;s primary resource, redirect to the parent page",
R195,Spectrum,Alert dialog,Use only when necessary; not for low-signal notices or excessive confirmations,
R102,Carbon,Button,Ghost buttons in cards should touch two container edges,
R031,Primer,Dialog,Avoid side navigation inside a dialog,
R008,Primer,Button,"Pair a primary with a default button, not multiple primaries",
R169,Polaris,ButtonGroup,Only group calls to action that relate to each other,
R156,Polaris,Common actions,"Use icons in place of text for common, well-known actions",
R105,Carbon,Button,Required destructive steps use primary-danger; optional ones use tertiary/ghost-danger,
R013,Primer,Button,Keep labels succinct,
R130,Carbon,Dialog pattern,Destructive or irreversible confirmations use the transactional danger modal,
R035,Primer,Dialog,Dialogs must adapt to narrow viewports,
R209,GOV.UK,Button,Avoid disabled buttons unless research supports them,
R121,Carbon,Dialog pattern,"Action labels are descriptive (Add, Delete, Save); avoid Done/OK",
R193,Spectrum,Alert dialog,"Stacked button groups order ascending importance, most critical at the bottom",
R127,Carbon,Dialog pattern,Modal for critical/required input; non-modal for optional tasks,
R134,Carbon,Dialog pattern,Cancel is the outermost left action; primary the outermost right,
R002,Primer,Button,Never more than one primary button in a group of buttons,
R155,Polaris,Common actions,"Every action has a text label, an icon, or both",
R041,Primer,Dialog,Avoid side sheets on non-full-width pages unless a global action,
R205,GOV.UK,Button,Destructive actions include an additional confirmation step,
R119,Carbon,Button,Danger buttons cannot be icon-only,
R145,Carbon,Dialog pattern,Inline validation runs on blur,
R100,Carbon,Button,Page header uses tertiary when content below has a primary; never primary in both,
R200,GOV.UK,Button,Avoid multiple default (primary) buttons on a page,
R149,Carbon,Dialog pattern,Avoid links that navigate away from the dialog,
R204,GOV.UK,Button,"Warning buttons only for serious, hard-to-undo destructive actions",
R176,Polaris,Button,{verb}+{noun} labels except common actions,
R051,Primer,Delete pattern,Show a loading state on confirm when deletion is slow,
R012,Primer,Button,Default variant used for most actions; other variants signal hierarchy,
R175,Polaris,Button,Never mislabel a button,
R108,Carbon,Button,Icon colour must match the label colour,
R188,Spectrum,Colour,Do not overuse the accent colour; primary actions only,
R207,GOV.UK,Button,Do not rely on red alone; text must make the consequence clear,
R211,GOV.UK,Button,Use preventDoubleClick where research shows double submissions,
R157,Polaris,Common actions,Keep action labels short; no unnecessary words,
R131,Carbon,Dialog pattern,Never nest modals,
R028,Primer,Dialog,Close button sits 8px from the edges,
R166,Polaris,Common actions,Do not overuse critical-styled buttons in a single view,
R159,Polaris,Common actions,Use the emphasis colour role for actions inside editors,
R056,Primer,Delete pattern,High-impact deletions live in a settings danger zone,
R043,Primer,Dialog,"Bottom sheet in landscape has max width 480px, centered",
R067,Carbon,Button,"Secondary performs the negative action (Cancel/Back), never a positive one",
R025,Primer,Dialog,Add a footer divider when the body scrolls,
R055,Primer,Delete pattern,On failure keep the dialog open and show a critical Banner inside it,
R058,Primer,Delete pattern,No confirmation dialog for reversible actions,
R136,Carbon,Dialog pattern,Dialog buttons are full-bleed and attached to the bottom,
R081,Carbon,Button,Tertiary buttons never used in fluid arrangements,
R152,Carbon,Dialog pattern,Focus returns to the invoking element on close,
R074,Carbon,Button,Only group calls to action that relate to one another,
R139,Carbon,Dialog pattern,"Three buttons: 25% each, right-aligned; only the rightmost may be primary",
R191,Spectrum,Alert dialog,Only one alert dialog displayed at a time,
R066,Carbon,Button,Secondary only in conjunction with a primary; never in isolation,
R178,Polaris,Page actions,At most two secondary actions,
R007,Primer,Button,Primary button goes at the end of a ButtonGroup,
R126,Carbon,Dialog pattern,"Dialogs must be user-triggered, never system-generated",
R208,GOV.UK,Button,Inverse buttons need at least 4.5:1 contrast with the background,
R054,Primer,Delete pattern,No visible success banner by default; announce via live region,
R210,GOV.UK,Button,Two or more adjacent buttons must be in a button group,
R112,Carbon,Button,Never use a defined universal icon for a different action,
R184,Spectrum,Button,Buttons must have a visible label,
R140,Carbon,Dialog pattern,Progress dialogs: Cancel ghost left; Previous secondary and Next primary right,
R110,Carbon,Button,8px between label and icon in ghost buttons,
R194,Spectrum,Alert dialog,Button groups stack vertically when horizontal space is limited,
R062,Primer,Delete pattern,Say &apos;Remove&apos; for disassociation and &apos;Delete&apos; for destruction,
R094,Carbon,Button,"In RTL the button is mirrored: label right, icon left",
R036,Primer,Dialog,Centered dialogs keep 16px between frame and viewport,
R173,Polaris,Button,Button text in sentence case,
R183,Polaris,Modal,Avoid complex or multi-step content in modals,
R138,Carbon,Dialog pattern,"Two buttons: secondary left, primary right, 50% each",
R042,Primer,Dialog,Bottom sheet is full width and dims the screen,
R177,Polaris,Page actions,"A single primary action, on the right, matching the title-bar primary",
R137,Carbon,Dialog pattern,"Single button: right side, 50% width, bleeds to edge",
R011,Primer,Button,"Multiple selections shown as &apos;N selected&apos;, not comma-separated",
R033,Primer,Dialog,Esc closes only the top-most dialog,
R005,Primer,Button,"Labels use sentence case, never all caps",
R087,Carbon,Button,Do not use secondary alongside non-primary buttons,
R020,Primer,IconButton,IconButton must have a tooltip with a text label,
R068,Carbon,Button,"Danger available only as primary, tertiary or ghost styles",
R088,Carbon,Button,Do not use tertiary with danger-tertiary,
R078,Carbon,Button,Fluid-width buttons preferred over fixed in layouts,
R165,Polaris,Common actions,Show row delete actions on hover for cursor users,
R004,Primer,Button,Labels must not contain line breaks,
